-1	198	300	308	215	177	161	143	360	501	159	126	386	299	84	219	164	313	334	384	446	362	424	233	261	144	115	61	35	99	159	161	180	127	154	201	254	301	355	418	474	464	296	304
198	-1	236	490	412	285	198	210	437	633	316	113	435	452	278	128	336	295	347	482	563	506	562	430	454	263	294	180	231	181	236	303	368	162	59	63	178	264	388	526	599	598	459	477
300	236	-1	462	483	463	402	177	270	499	294	186	242	377	334	109	464	79	142	328	419	408	446	465	460	230	315	331	311	356	426	459	470	173	203	172	58	42	191	377	460	471	400	433
308	490	462	-1	196	407	448	307	294	265	180	384	353	111	224	447	306	416	386	265	256	146	195	125	71	244	197	360	272	392	425	359	255	345	434	468	451	434	365	259	259	232	77	39
215	412	483	196	-1	232	299	306	422	458	208	335	471	268	150	423	122	467	463	415	435	325	383	70	125	260	169	239	186	259	264	181	66	318	369	416	449	470	462	426	446	423	242	221
177	285	463	407	232	-1	96	320	531	644	313	276	562	438	213	365	109	486	511	550	599	502	565	291	340	318	259	131	189	108	52	50	165	297	275	323	410	471	532	577	622	606	424	418
161	198	402	448	299	96	-1	286	517	661	319	218	538	457	230	296	186	438	473	545	607	520	583	346	389	303	271	100	189	62	44	133	237	252	201	245	345	417	502	579	635	624	450	452
143	210	177	307	306	320	286	-1	237	422	128	97	252	247	157	139	297	172	191	276	354	298	352	290	292	63	139	193	142	227	296	303	296	47	150	169	148	167	215	318	389	388	261	286
360	437	270	294	422	531	517	237	-1	230	226	331	60	183	324	327	474	194	135	59	150	175	189	368	333	215	280	418	342	456	519	502	448	282	380	382	297	229	92	107	191	206	216	255
501	633	499	265	458	644	661	422	230	-1	342	520	276	205	434	541	555	424	365	171	80	141	78	388	335	374	390	561	471	599	649	601	510	470	573	588	518	458	320	122	38	37	221	237
159	316	294	180	208	313	319	128	226	342	-1	206	268	141	100	267	248	265	254	237	289	203	265	174	166	66	54	219	130	257	310	278	224	164	257	288	275	273	254	264	315	305	144	162
126	113	186	384	335	276	218	97	331	520	206	-1	337	339	188	93	289	220	260	373	452	393	449	340	355	150	193	146	149	170	240	275	306	50	53	84	133	198	295	415	487	485	348	369
386	435	242	353	471	562	538	252	60	276	268	337	-1	242	361	317	513	163	100	111	196	234	245	421	389	244	320	442	373	478	545	536	492	292	383	377	279	200	51	155	237	256	275	314
299	452	377	111	268	438	457	247	183	205	141	339	242	-1	228	383	353	321	282	156	167	64	127	203	158	188	186	359	268	396	443	396	312	292	392	417	376	344	257	158	184	168	33	72
84	278	334	224	150	213	230	157	324	434	100	188	361	228	-1	273	152	326	331	337	386	292	355	153	177	123	45	136	48	170	215	178	140	167	228	271	298	324	341	363	410	396	220	223
219	128	109	447	423	365	296	139	327	541	267	93	317	383	273	-1	382	168	223	378	466	428	477	420	428	202	269	236	239	256	324	367	398	107	95	64	51	135	267	425	504	508	399	425
164	336	464	306	122	109	186	297	474	555	248	289	513	353	152	382	-1	469	481	482	520	416	477	185	237	274	194	156	154	161	147	59	56	291	307	357	419	462	493	503	538	519	334	322
313	295	79	416	467	486	438	172	194	424	265	220	163	321	326	168	469	-1	63	253	344	343	376	439	425	207	298	355	315	386	456	474	466	189	252	232	122	37	111	302	385	398	348	384
334	347	142	386	463	511	473	191	135	365	254	260	100	282	331	223	481	63	-1	194	285	296	322	425	405	208	297	384	330	417	486	493	470	221	299	286	182	100	48	243	327	341	312	350
384	482	328	265	415	550	545	276	59	171	237	373	111	156	337	378	482	253	194	-1	91	130	133	355	314	242	291	445	362	483	543	515	450	323	424	431	351	287	150	48	132	147	189	226
446	563	419	256	435	599	607	354	150	80	289	452	196	167	386	466	520	344	285	91	-1	111	69	368	318	311	341	507	419	545	599	560	480	401	504	515	441	378	240	42	41	61	193	220
362	506	408	146	325	502	520	298	175	141	203	393	234	64	292	428	416	343	296	130	111	-1	62	258	207	243	249	422	331	459	507	460	373	344	446	467	415	371	262	113	122	104	83	109
424	562	446	195	383	565	583	352	189	78	265	449	245	127	355	477	477	376	322	133	69	62	-1	314	262	300	312	484	393	521	570	523	433	399	502	520	459	407	281	95	63	41	143	163
233	430	465	125	70	291	346	290	368	388	174	340	421	203	153	420	185	439	425	355	368	258	314	-1	54	235	152	271	199	298	316	241	131	313	381	424	438	446	418	362	377	354	175	151
261	454	460	71	125	340	389	292	333	335	166	355	389	158	177	428	237	425	405	314	318	207	262	54	-1	232	162	307	226	337	363	292	184	322	401	440	440	438	392	316	325	301	127	98
144	263	230	244	260	318	303	63	215	374	66	150	244	188	123	202	274	207	208	242	311	243	300	235	232	-1	90	203	128	241	304	292	262	104	204	229	208	212	219	279	343	338	199	223
115	294	315	197	169	259	271	139	280	390	54	193	320	186	45	269	194	298	297	291	341	249	312	152	162	90	-1	173	82	210	259	223	174	161	239	277	286	301	302	318	366	353	180	189
61	180	331	360	239	131	100	193	418	561	219	146	442	359	136	236	156	355	384	445	507	422	484	271	307	203	173	-1	91	38	103	131	190	166	153	203	279	339	408	479	535	524	354	359
35	231	311	272	186	189	189	142	342	471	130	149	373	268	48	239	154	315	330	362	419	331	393	199	226	128	82	91	-1	128	181	164	160	139	184	229	270	308	346	393	445	434	262	269
